zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro,55 o+,Mujer,Aprueba,preocupando,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,problemas,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,salud,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,seguridad,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,tods,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,asunto,1.251
Santiago,Centro,55 o+,Mujer,Desaprueba,ciudadana,1.251
Santiago,Centro,55 o+,Mujer,Desaprueba,cosas,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,critico,1.251
Santiago,Centro,55 o+,Mujer,Desaprueba,dejo,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,desaga,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,ene,1.251
Santiago,Centro,55 o+,Mujer,Desaprueba,gobierno,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,gusta,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,locomocion,1.251
Santiago,Centro,55 o+,Mujer,Desaprueba,seguridad,1.251
Santiago,Centro,55 o+,Mujer,Desaprueba,suserora,1.31789
Santiago,Centro,55 o+,Mujer,Desaprueba,viene,1.251
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,99,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,activado,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,activando,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,actual,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,admisrtrar,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,afecta,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,alegatos,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,altos,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,ambientalque,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,ambiente,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,ambito,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,ami,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,año,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,anteriior,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,anteriormente,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,apoyo,1.46385
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,apruebo,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,aumentar,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,automaticamente,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,avala,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,avances,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,ayudado,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,bajado,0.88487
